epoch,loss,val_acc,lr
188,0.142549,0.785561,0.000311
189,0.142343,0.785550,0.000100
190,0.143684,0.785805,0.002000
191,0.143637,0.786073,0.001789
192,0.143489,0.785720,0.001578
193,0.143326,0.785735,0.001367
194,0.143133,0.785809,0.001156
195,0.142921,0.785576,0.000944
196,0.142715,0.785342,0.000733
197,0.142505,0.785174,0.000522
198,0.142289,0.785172,0.000311
199,0.142074,0.785113,0.000100
200,0.143499,0.785645,0.002000
